,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23
2023-04-24,1.0,1.0013831194868696,1.0031951755205084,1.0027219364190294,1.0049271728627542,1.0111793468933088,1.0127292218225346,1.0140545081700103,1.0187605600271705,1.0191573204163082,1.021828032939953,1.0225457945084313,1.0231661326633066,1.024430095823874,1.019582435559391,1.0164294613010145
2023-04-28,0,1.0,1.001809553205338,1.0013369677460169,1.003539158297077,1.0097826967679053,1.01133043099576,1.0126538868456598,1.0173534386611245,1.0177496510411985,1.0204166747523764,1.0211334449420377,1.0217529262802025,1.0230151436433381,1.018174179011373,1.0150255596697646
2023-05-02,0,0,1.0,0.9995282681645339,1.0017264809326334,1.0079587417958402,1.0095036803751367,1.010824745687067,1.0155158087742857,1.0159113054820244,1.0185735117892458,1.0192889872879252,1.0199073496664657,1.0211672871057695,1.0163350666338484,1.013192134594985
2023-05-06,0,0,0,0.9999999999999999,1.0021992502244443,1.0084344524310327,1.0099801201509997,1.0113018089456107,1.0159950860010294,1.0163907693652077,1.0190542321125995,1.0197700452831397,1.0203886995005698,1.021649231572982,1.016814730513002,1.0136703151533097
2023-05-10,0,0,0,0,1.0,1.0062215195283692,1.0077637953977843,1.0090825838466033,1.0137655618615713,1.014160376928625,1.0168179949090768,1.0175322372819182,1.0181495339096014,1.0194072998400086,1.0145834077258435,1.0114458925471124
2023-05-14,0,0,0,0,0,1.0000000000000002,1.0015327398982066,1.00284337421006,1.0074973971305428,1.0078897710356831,1.0105309568271552,1.0112407830025845,1.0118542628533955,1.0131042519522142,1.0083101862116741,1.0051920704510393
2023-05-18,0,0,0,0,0,0,1.0000000000000002,1.0013086285247017,1.0059555289554911,1.006347302373882,1.0089844461099327,1.0096931859714986,1.010305726956303,1.0115538030790523,1.0067670741489254,1.0036537303345718
2023-05-22,0,0,0,0,0,0,0,0.9999999999999999,1.004640827311791,1.00503208871435,1.007665785919113,1.0083735995156164,1.0089853399594262,1.0102317849487081,1.0054513118819979,1.0023420369535068
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.0003894540137352,1.0030109851452245,1.0037155290750164,1.0043244436514294,1.0055651308257871,1.0008067406262748,0.9977118286498118
2023-05-30,0,0,0,0,0,0,0,0,0,1.0,1.0026205105631325,1.0033247802122827,1.0039334577367907,1.0051736619086558,1.0004171241618607,0.9973234170420525
2023-06-03,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1.000702428926728,1.0013095155742633,1.0025464782723121,0.9978023725047933,0.9947167512879778
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,1.0006066605116433,1.0018427549412086,0.9971019792316832,0.9940185239230707
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1.0012353449945388,0.9964974435827083,0.9934158577505333
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,0.9952679443094806,0.992190160602003
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9969075828021237
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
